0	 Compensation and Benefits Policy@ What is the Compensation and Beneﬁts Policy?@ The Compensation and Beneﬁts policy ensures to manage the employees’ ﬁxed pay and provides various beneﬁts by setting performance standards and maintaining the same for every employee. Beneﬁts administration within any company takes care that employees of that company are provided compensation for their eﬀorts in projects and beneﬁts for any of their ﬁnancial crises. 
1	 Compensation and Benefits Policy@ What is the Compensation and Beneﬁts Policy?@ It is an oﬃcial statement to the employees about how they receive beneﬁts from their company. It is the primary function of the HR processes because compensation and beneﬁts administration for each employee based on their performance statistics is time-consuming and is most important for employees. The company providing timely beneﬁts to its employees must look if their policy is compliant with the government’s laws, which can be ensured with our policy template. 
2	 Compensation and Benefits Policy@ What is the Compensation and Beneﬁts Policy?@ In this policy, you will get: black circle Sample format with various details for compensation and beneﬁts. black circle The ways to provide compensation and benefits that will encourage them to invest more time in their projects and profit the company. black circle To promote your employees through various ways that the employee will find interesting. black circle The scope of employees on whom this example might be applicable. black circle To include the types of variable pay like incentives that an employee can win. black circle To have the type of non-monetary benefits your company can provide to your employees. black circle To include the types of post-retirement services that your company will provide. 
3	 Compensation and Benefits Policy@ Compensation and Beneﬁts Policy Sample Template@ “Coral AI ” believes in oﬀering security and advantages to our workforce as speciﬁed in the government laws. We also strive to oﬀer them appropriate compensation management with proper control and monitoring. 
4	 Compensation and Benefits Policy@ Purpose@ “Coral AI ” is accountable to discuss compensation and beneﬁts an employee is entitled to during their service period. This policy outlines the completed guidelines about the same. 
5	 Compensation and Benefits Policy@ Scope@ The policy of “Coral AI ” is applicable to every employee irrespective of their department, role, job location, or rank. 
6	 Compensation and Benefits Policy@ Administration@ An employee’s compensation administration will be handled by the board of directors and the HR department of the company. The company shall ensure that all the employees receive latin small letter a bare minimum pay structure as per the state, central, or regional laws. Employees may receive incentives other than the basic salary on the basis of their behavior, experience, and performance at the workplace. 
7	 Compensation and Benefits Policy@ Constituents@ Compensation and beneﬁts are categorized into two parts: Tangible and Intangible. Gross, basic, net pay, and IT deductions are tangible ones. Whereas overtime, leave, bonus, medical insurance, incentives, etc., are intangible. Following are the various categories of beneﬁts and compensation. 
8	 Compensation and Benefits Policy@ Annual Guaranteed pay@ The ﬁxed minimum amount an employee gets against serving the company is called the Annual Guaranteed pay. It includes the basic wage, diﬀerentials, allowances, and premiums. This will be paid considering the role, designation, and department. 
9	 Compensation and Benefits Policy@ Beneﬁts@ The company shall support the employees in the case of unplanned or natural disasters, with advantages such as paid time oﬀ, medical and social security insurance, etc. 
10	 Compensation and Benefits Policy@ Bonus@ Employees will be oﬀered bonus pay based on performance evaluation. The bonus provided will be one time annually and will not be more than “10” % of the total annual ﬁxed-wage of the employee. 
11	 Compensation and Benefits Policy@ Equity-based compensation@ Equity compensation is latin small letter a non-monetary payment such as stock options, restricted stock, and performance shares, given to employees in the form of company shares. 
12	 Compensation and Benefits Policy@ Variable Pay@ Variable pay includes bonuses, incentives, and other similar rewards/payments to employees. These rewards are decided after assessing employee performance during latin small letter a speciﬁed time. 
13	 Compensation and Benefits Policy@ Non-monetary Beneﬁts@ To meet the employee’s non-monetary needs, they are oﬀered these rewards. This compensation is completely dependent on the employee’s position. Mentioned below are some types of non-monetary beneﬁts. black circle In-house and on-site training plan for the employee. black circle Providing latin small letter a day off instead of completing projects before the deadline. black circle Appreciating employees among their department. black circle Offering work from home or flexible working hours. 
14	 Compensation and Benefits Policy@ Severance Pay@ The company will only oﬀer severance pay if it is mentioned in the laws and after approval from the board of directors. Apart from this, the company will also provide accrued payments such as leave encashment, gratuity, etc. 
15	 Compensation and Benefits Policy@ Post-Retirement Beneﬁts@ The employees retiring from the services of the “Coral AI ” shall be eligible for the post-retirement beneﬁts as enlisted below: i. Health Insurance: This insurance will cover the hospitalization charges for the employee and his/her spouse under the following conditions: black circle Senior Managers and above level: indian rupee sign 1,500,000 per annum. black circle Junior Managers and below level: indian rupee sign 700,000 per annum. ii. Transportation Charges: This insurance will cover the transportation charges for the employee and his/her spouse under the following conditions: black circle Senior Managers and above level: indian rupee sign 200,000 per annum. black circle Junior Managers and below level: indian rupee sign 50,000 per annum. 
16	 Compensation and Benefits Policy@ Payroll Administration@ “Coral AI ” guarantees to transfer every employee’s salaries on the last working day of the month and not later than that. Under extreme conditions or failure of the system, the above-stated condition may not be followed. The company would immediately transfer the payroll whenever the system/condition would get back to normal. 
17	 Compensation and Benefits Policy@ Dissemination@ latin capital letter a copy of the Compensation and Beneﬁts Policy will be shared on the web portal, mobile application, and common areas. 
18	 Corporate Social Responsibility@ What is Corporate Social Responsibility?@ Corporate Social Responsibility (CSR) intends to add to societal goals. It plans to do so by support volunteering or ethically oriented practices. While the companies run their business based on various stakeholders’ anticipation, they also realize the value of contributing to making the world latin small letter a better place. The Corporate Social Responsibility Policy aims to improve latin small letter a sustainable society, and this dedication is deep-rooted in its core values. They aim to show these through their actions governed by this policy. 
